mineral,us_import_reliance_pct,source_concentration_hhi,avg_source_reliability,china_exposure_pct,russia_exposure_pct,composite_risk_score,risk_category
Aluminum,47,0.329,2.73,57.0,0.0,5.27,High
Antimony,78,0.336,2.8,54.0,16.0,6.39,High
Arsenic,100,0.5,3.1,70.0,0.0,7.37,Critical
Barite,65,0.146,2.82,34.0,0.0,4.98,Medium
Beryllium,0,0.781,8.2,8.0,0.0,2.61,Low
Bismuth,90,0.646,3.24,80.0,0.0,7.54,Critical
Cesium,100,0.663,8.05,0.0,0.0,5.24,High
Chromium,69,0.265,4.42,0.0,0.0,4.4,Medium
Cobalt,76,0.499,2.87,5.0,6.0,6.88,High
Dysprosium,100,0.732,3.22,85.0,0.0,8.14,Critical
Europium,100,0.722,2.97,85.0,0.0,8.19,Critical
Fluorspar,100,0.4,3.82,60.0,0.0,6.75,High
Gallium,100,0.885,3.62,94.0,0.0,8.53,Critical
Germanium,30,0.483,3.56,68.0,8.0,5.18,High
Graphite,100,0.445,3.84,65.0,0.0,6.93,High
Hafnium,90,0.348,6.17,35.0,0.0,5.24,High
Indium,100,0.354,4.02,57.0,0.0,6.54,High
Iridium,92,0.722,4.68,0.0,0.0,6.16,High
Lithium,25,0.312,7.26,14.0,0.0,2.56,Low
Magnesium,66,0.745,3.39,86.0,6.0,7.2,Critical
Manganese,100,0.138,3.83,13.0,0.0,5.39,High
Neodymium,100,0.517,4.06,70.0,0.0,7.13,Critical
Nickel,48,0.17,4.02,0.0,10.0,3.81,Medium
Niobium,100,0.784,7.11,0.0,0.0,5.83,High
Palladium,33,0.323,3.82,0.0,42.0,4.28,Medium
Phosphate,12,0.21,3.4,42.0,6.0,3.58,Medium
Platinum,71,0.513,4.8,0.0,12.0,5.15,High
Potash,93,0.177,4.19,14.0,17.0,5.44,High
Praseodymium,100,0.515,3.58,70.0,0.0,7.26,Critical
Rhodium,91,0.671,4.7,0.0,12.0,6.18,High
Rubidium,100,0.552,7.52,25.0,0.0,5.5,High
Ruthenium,93,0.672,4.51,0.0,0.0,6.12,High
Scandium,100,0.486,3.11,66.0,20.0,7.57,Critical
Strontium,100,0.272,5.5,32.0,0.0,5.51,High
Tantalum,86,0.204,3.41,14.0,0.0,5.82,High
Tellurium,50,0.349,3.78,55.0,12.0,5.24,High
Terbium,100,0.732,3.22,85.0,0.0,8.14,Critical
Tin,72,0.174,3.36,30.0,0.0,5.04,High
Titanium,90,0.336,3.73,54.0,11.0,6.4,High
Tungsten,50,0.693,3.3,83.0,3.0,6.54,High
Vanadium,72,0.37,2.99,56.0,21.0,6.34,High
Yttrium,100,0.722,2.97,85.0,0.0,8.19,Critical
Zirconium,17,0.236,5.48,13.0,0.0,2.65,Low
